molecule_id,activity
1,0.564
2,0.772
3,0.639
4,0.647
5,0.564
6,0.504
7,0.427
8,0.533
9,0.606
10,0.51
11,0.606
12,0.523
13,0.641
14,0.653
15,0.467
16,0.195
17,0.104
18,0.798
19,0.765
20,0.666
21,0.788
22,0.726
23,0.606
24,0.481
25,0.1
26,0.1
27,0.206
28,0.351
29,0.581
30,0.726
31,0.801
32,0.705
33,0.765
34,0.792
35,0.676
36,0.734
37,0.838
38,0.641
39,0.689
40,0.765
41,0.73
42,0.788
43,0.726
44,0.747
45,0.653
46,0.73
47,0.796
48,0.697
49,0.796
50,0.409
51,0.695
52,0.718
53,0.772
54,0.838
55,0.817
56,0.643
57,0.616
58,0.631
59,0.631
60,0.32
61,0.608
62,0.558
63,0.645
64,0.647
65,0.442
66,0.469
67,0.423
68,0.415
69,0.811
70,0.666
71,0.713
72,0.55
73,0.788
74,0.827
75,0.842
76,0.809
77,0.336
78,0.602
79,0.591
80,0.861
81,0.867
82,0.809
83,0.533
84,0.873
85,0.726
86,0.809
87,0.865
88,0.602
89,0.45
90,0.772
91,0.409
92,0.365
93,0.498
94,0.564
95,0.396
96,0.651
97,0.62
98,0.55
99,0.564
100,0.815
101,0.751
102,0.637
103,0.718
104,0.695
105,0.78
106,0.687
107,0.713
108,0.258
109,0.689
110,0.792
111,0.798
112,0.827
113,0.709
114,0.809
115,0.494
116,0.861
117,0.682
118,0.616
119,0.463
120,0.523
121,0.135
122,0.396
123,0.523
124,0.515
125,0.738
126,0.738
127,0.757
128,0.757
129,0.844
130,0.772
131,0.817
132,0.726
133,0.794
134,0.811
135,0.689
136,0.701
137,0.68
138,0.67
139,0.73
140,0.757
141,0.817
142,0.792
143,0.757
144,0.687
145,0.73
146,0.788
147,0.709
148,0.668
149,0.718
150,0.67
151,0.73
152,0.672
153,0.595
154,0.614
155,0.772
156,0.747
157,0.765
158,0.678
159,0.608
160,0.662
161,0.699
162,0.61
163,0.641
164,0.678
165,0.713
166,0.757
167,0.772
168,0.751
169,0.612
170,0.651
171,0.616
172,0.631
173,0.699
174,0.676
175,0.45
176,0.722
177,0.639
178,0.801
179,0.726
180,0.9
181,0.718
182,0.817
183,0.417
184,0.74
185,0.637
186,0.595
